time;x;y;z;speed x;speed y;speed z;roll;pitch;yaw;pX|X;pX|Y;pX|Z;pY|X;pY|Y;pY|Z;pZ|X;pZ|Y;pZ|Z;roll Scalar;pitch Scalar;yaw Scalar;accelerate;roll Input;pitch Input;yaw Input
19,4388;2122,394;95,08789;8,130127;112,2672;-9,754561;0,7977691;131,9811;-2,429869;92,78294;0,000997096;-0,742697;0,6696274;-0,06441644;-0,668285;-0,7411118;0,9979229;-0,0423958;-0,04850873;-0,6682849;-0,0423958;-0,04850873;1;-1;0;0
19,4555;2124,268;94,92979;8,13623;112,2649;-9,779445;0,6236557;129,7497;-2,319253;92,87879;0,001039997;-0,7682151;0,6401911;-0,06445795;-0,6389117;-0,766575;0,9979199;-0,0404681;-0,05018215;-0,6389116;-0,0404681;-0,05018215;1;-1;0;0
19,4722;2126,143;94,77154;8,139404;112,2628;-9,797602;0,4491522;127,5186;-2,205046;92,97027;0,001080677;-0,7925681;0,6097828;-0,06450081;-0,6085689;-0,7908757;0,9979173;-0,03847662;-0,05177934;-0,6085688;-0,03847662;-0,05177934;1;-1;0;0
19,4889;2128,018;94,61327;8,139893;112,2607;-9,80902;0,2745081;125,2879;-2,08741;93,0572;0,001119986;-0,8157183;0,5784485;-0,06454521;-0,5773017;-0,813976;0,9979143;-0,03642437;-0,05329745;-0,5773017;-0,03642437;-0,05329745;1;-1;0;0
19,5056;2129,893;94,45508;8,137695;112,2587;-9,813699;0,09997486;123,0574;-1,966425;93,13949;0,001157343;-0,8376309;0,5462357;-0,06459114;-0,5451582;-0,8358415;0,9979113;-0,03431451;-0,05473471;-0,5451581;-0,03431451;-0,05473471;1;-1;0;0
19,5223;2131,767;94,29707;8,132813;112,2568;-9,811645;-0,07419765;120,8273;-1,842388;93,21701;0,001193196;-0,8582723;0,5131934;-0,06463856;-0,5121869;-0,8564385;0,9979082;-0,03215006;-0,05608884;-0,5121868;-0,03215006;-0,05608884;1;-1;0;0
19,539;2133,642;94,13934;8,125244;112,255;-9,802876;-0,2477593;118,5974;-1,71532;93,28962;0,001227051;-0,877611;0,4793723;-0,06468716;-0,4784384;-0,8757355;0,997905;-0,0299345;-0,05735746;-0,4784384;-0,0299345;-0,05735746;1;-1;0;0
19,5557;2135,517;93,98199;8,11499;112,2534;-9,787418;-0,4204596;116,3679;-1,585603;93,35723;0,001259178;-0,8956176;0,4448233;-0,06473711;-0,4439636;-0,8937033;0,9979017;-0,02767119;-0,05853882;-0,4439636;-0,02767119;-0,05853882;1;-1;0;0
19,5724;2137,391;93,82515;8,102051;112,2518;-9,765311;-0,5920495;114,1387;-1,453469;93,41973;0,001289099;-0,9122648;0,409599;-0,06478801;-0,408815;-0,9103147;0,9978983;-0,02536356;-0,0596309;-0,408815;-0,02536356;-0,0596309;1;-1;0;0
19,5891;2139,266;93,66889;8,08667;112,2503;-9,736601;-0,7622805;111,9097;-1,318637;93,47702;0,001317024;-0,9275271;0,3737537;-0,06483984;-0,3730468;-0,9255443;0,9978949;-0,02301505;-0,06063217;-0,3730467;-0,02301505;-0,06063217;1;-1;0;0
19,6058;2141,14;93,51332;8,068604;112,249;-9,701343;-0,9309065;109,6811;-1,182006;93,52902;0,001342803;-0,9413817;0,337341;-0,06489268;-0,3367125;-0,9393689;0,9978914;-0,02062947;-0,06154105;-0,3367124;-0,02062947;-0,06154105;1;-1;0;0
19,6225;2143,015;93,35854;8,048096;112,2477;-9,659604;-1,097683;107,4527;-1,043427;93,57568;0,001366496;-0,9538071;0,3004172;-0,06494662;-0,299868;-0,9517676;0,997888;-0,01821032;-0,06235653;-0,2998679;-0,01821032;-0,06235653;1;-1;0;0
19,6392;2144,889;93,20464;8,025146;112,2466;-9,611461;-1,26237;105,2245;-0,90309;93,61691;0,001387924;-0,9647849;0,2630378;-0,06500158;-0,2625691;-0,9627217;0,9978845;-0,01576138;-0,0630773;-0,2625689;-0,01576138;-0,0630773;1;-1;0;0
19,6559;2146,764;93,05172;7,999512;112,2456;-9,556998;-1,424729;102,9965;-0,7610474;93,65267;0,001408041;-0,9742979;0,2252597;-0,06505778;-0,2248721;-0,9722141;0,9978806;-0,01328585;-0,0637024;-0,224872;-0,01328585;-0,0637024;1;-1;0;0
19,6726;2148,638;92,89988;7,97168;112,2447;-9,49631;-1,584525;100,7688;-0,6180231;93,68294;0,001425803;-0,9823321;0,1871411;-0,0651153;-0,1868354;-0,9802309;0,9978768;-0,01078805;-0,06423134;-0,1868354;-0,01078805;-0,06423134;1;-1;0;0
